agents,successful
1.0,0.0
2.0,2.0
3.0,1.0
4.0,0.0
5.0,1.0
6.0,3.0
7.0,2.0
8.0,3.0
9.0,5.0
10.0,7.0
11.0,6.0
12.0,8.0
13.0,8.0
14.0,7.0
15.0,11.0
16.0,11.0
17.0,12.0
18.0,13.0
19.0,14.0
20.0,15.0
21.0,16.0
22.0,16.0
23.0,17.0
24.0,17.0
25.0,20.0
26.0,19.0
27.0,20.0
28.0,23.0
29.0,22.0
30.0,24.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,1.0
7.0,2.0
8.0,3.0
9.0,3.0
10.0,4.0
11.0,5.0
12.0,7.0
13.0,7.0
14.0,8.0
15.0,11.0
16.0,10.0
17.0,11.0
18.0,12.0
19.0,12.0
20.0,13.0
21.0,15.0
22.0,16.0
23.0,17.0
24.0,18.0
25.0,18.0
26.0,19.0
27.0,21.0
28.0,22.0
29.0,25.0
30.0,23.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,1.0
6.0,0.0
7.0,0.0
8.0,1.0
9.0,2.0
10.0,3.0
11.0,3.0
12.0,4.0
13.0,4.0
14.0,5.0
15.0,6.0
16.0,7.0
17.0,8.0
18.0,8.0
19.0,10.0
20.0,12.0
21.0,13.0
22.0,15.0
23.0,14.0
24.0,15.0
25.0,17.0
26.0,17.0
27.0,18.0
28.0,19.0
29.0,21.0
30,23
